,Pick,Years After Draft,variable,NHL Probability,Star Probability
0,1,0,Estimate,0.7719707448909293,0.23858660327245043
1,1,1,Estimate,0.9106179563283614,0.3282903018739002
2,1,2,Estimate,0.9571176695926694,0.42296322321144014
3,1,3,Estimate,0.9731661237306319,0.5239577899442703
4,1,4,Estimate,0.9770303966417093,0.5751518507031639
5,1,5,Estimate,0.9599361292451416,0.5942780146806261
6,1,6,Estimate,0.9399871169058959,0.6280290315788379
7,1,7,Estimate,0.9284304359350178,0.645410232290878
8,1,8,Estimate,0.918715620215808,0.5994283782031187
9,1,9,Estimate,0.8949197460753957,0.5454255224497564
10,1,10,Estimate,0.8583722440386373,0.490237658145815
11,1,11,Estimate,0.8628080539571638,0.40797888150189143
12,1,12,Estimate,0.9284874443857281,0.3141282035748444
13,1,13,Estimate,,
14,1,14,Estimate,,
15,1,15,Estimate,,
16,1,16,Estimate,,
17,2,0,Estimate,0.6332345507839388,0.1678361518054999
18,2,1,Estimate,0.8087334612651624,0.2579181932572141
19,2,2,Estimate,0.8925415805152837,0.34953684435342186
20,2,3,Estimate,0.9337108183370441,0.4367968408912289
21,2,4,Estimate,0.9500680288221373,0.482928889397052
22,2,5,Estimate,0.9439954483963949,0.5087963627014965
23,2,6,Estimate,0.9313864568354873,0.5403715800469039
24,2,7,Estimate,0.9209701577691847,0.5487449141402176
25,2,8,Estimate,0.9111453716731686,0.50960887387407
26,2,9,Estimate,0.8890621679827756,0.45983875008332065
27,2,10,Estimate,0.853815902511546,0.4058231000621732
28,2,11,Estimate,0.8448492813862924,0.3374872375626689
29,2,12,Estimate,0.8852732419119779,0.2632677202485524
30,2,13,Estimate,,
31,2,14,Estimate,,
32,2,15,Estimate,,
33,2,16,Estimate,,
34,3,0,Estimate,0.515485063109645,0.11455628138657188
35,3,1,Estimate,0.7217617657396282,0.2030583740353205
36,3,2,Estimate,0.8364632328842013,0.29136994916006015
37,3,3,Estimate,0.8977870066675813,0.3679017756521742
38,3,4,Estimate,0.9241698893515258,0.4101780803076573
39,3,5,Estimate,0.9271317487593057,0.44151392210792806
40,3,6,Estimate,0.9191624238589959,0.4706500070412787
41,3,7,Estimate,0.9069198403263092,0.4719470165219381
42,3,8,Estimate,0.8949289446003581,0.4371552566154374
43,3,9,Estimate,0.8748934113854586,0.3904890099683287
44,3,10,Estimate,0.8411908919361071,0.3407232029552087
45,3,11,Estimate,0.8188843802973849,0.2875245845920834
46,3,12,Estimate,0.8348156282202737,0.23171573634903217
47,3,13,Estimate,,
48,3,14,Estimate,,
49,3,15,Estimate,,
50,3,16,Estimate,,
51,4,0,Estimate,0.4176799893218433,0.07635023496410531
52,4,1,Estimate,0.6487456351078655,0.16131331188928993
53,4,2,Estimate,0.7885280191083428,0.24577521940675418
54,4,3,Estimate,0.8656684911353694,0.31381583712888333
55,4,4,Estimate,0.8995851442042894,0.35273518622667105
56,4,5,Estimate,0.9094714967483395,0.3881454198212757
57,4,6,Estimate,0.9040827562286995,0.4156811733972574
58,4,7,Estimate,0.8880352323154019,0.41271941011321445
59,4,8,Estimate,0.8719361057405007,0.3811011299954835
60,4,9,Estimate,0.8526301574408215,0.3370385319214791
61,4,10,Estimate,0.8191244989025326,0.29220946657509206
62,4,11,Estimate,0.7838717864126707,0.2524844622766197
63,4,12,Estimate,0.777290811417685,0.21270886925646632
64,4,13,Estimate,,
65,4,14,Estimate,,
66,4,15,Estimate,,
67,4,16,Estimate,,
68,5,0,Estimate,0.3378556141669707,0.05022917329671927
69,5,1,Estimate,0.5875315376429391,0.12986122836182612
70,5,2,Estimate,0.7473039493937946,0.20987737711132579
71,5,3,Estimate,0.8369259316871521,0.271132975138145
72,5,4,Estimate,0.8764481542255379,0.3068028399306846
73,5,5,Estimate,0.8913515071324223,0.34484230532518334
74,5,6,Estimate,0.8869453372468057,0.37199698701314665
75,5,7,Estimate,0.8658180711837178,0.3675160271700929
76,5,8,Estimate,0.8438173841413862,0.3387610764803074
77,5,9,Estimate,0.8230111048422786,0.2973794964201806
78,5,10,Estimate,0.7878939744785804,0.25669860620647855
79,5,11,Estimate,0.7409930954892359,0.22700622768100376
80,5,12,Estimate,0.7150718891446944,0.19970460139109736
81,5,13,Estimate,,
82,5,14,Estimate,,
83,5,15,Estimate,,
84,5,16,Estimate,,
85,6,0,Estimate,0.2735361307107865,0.03309881535847085
86,6,1,Estimate,0.5352892486721385,0.10594453869121602
87,6,2,Estimate,0.7106877182713179,0.18100250022309644
88,6,3,Estimate,0.8106567585176333,0.23682412302877823
89,6,4,Estimate,0.8548177273762178,0.2692627025979838
90,6,5,Estimate,0.8732258810369394,0.30849198942903094
91,6,6,Estimate,0.8684808449602699,0.3362254700169437
92,6,7,Estimate,0.8415087017770556,0.33222085528889206
93,6,8,Estimate,0.8121578574743888,0.3064613234187262
94,6,9,Estimate,0.7876147602997444,0.2682745041282088
95,6,10,Estimate,0.7496796407381816,0.23041134035326635
96,6,11,Estimate,0.693643736525942,0.20672117426689968
97,6,12,Estimate,0.6524932205467665,0.18746308905527911
98,6,13,Estimate,,
99,6,14,Estimate,,
100,6,15,Estimate,,
101,6,16,Estimate,,
102,7,0,Estimate,0.22217392929554428,0.02219126138496769
103,7,1,Estimate,0.4892606458723257,0.08729386052765753
104,7,2,Estimate,0.6765776666382539,0.15702101458836912
105,7,3,Estimate,0.785876965343319,0.20851932799665684
106,7,4,Estimate,0.8347257426503717,0.23789637489458434
107,7,5,Estimate,0.8555692446586,0.2769308528086797
108,7,6,Estimate,0.8493587843490429,0.30553438970789
109,7,7,Estimate,0.8162609963617168,0.3030088942359909
110,7,8,Estimate,0.778761461367652,0.2804986960729762
111,7,9,Estimate,0.7490484584446258,0.2461985358308712
112,7,10,Estimate,0.7083842781582644,0.20998975706182754
113,7,11,Estimate,0.6468609267564215,0.18872981163894315
114,7,12,Estimate,0.5950846769645568,0.1729296121869436
115,7,13,Estimate,,
116,7,14,Estimate,,
117,7,15,Estimate,,
118,7,16,Estimate,,
119,8,0,Estimate,0.1814513894969258,0.015331108665423969
120,8,1,Estimate,0.4474672420785224,0.07235150083187461
121,8,2,Estimate,0.6435556436649187,0.1365377302475918
122,8,3,Estimate,0.7619052353413678,0.18465754182202357
123,8,4,Estimate,0.8161928869298789,0.21143183190430173
124,8,5,Estimate,0.838795503727592,0.2490075120365481
125,8,6,Estimate,0.830274868366391,0.27802052484970846
126,8,7,Estimate,0.7913847497510261,0.27712536950066274
127,8,8,Estimate,0.7458838584441209,0.2580143872610679
128,8,9,Estimate,0.7108393155865185,0.22811587278217946
129,8,10,Estimate,0.6689501806408008,0.1929042295309282
130,8,11,Estimate,0.6062234913501188,0.17167302404790544
131,8,12,Estimate,0.5483614809248353,0.15557419674622552
132,8,13,Estimate,,
133,8,14,Estimate,,
134,8,15,Estimate,,
135,8,16,Estimate,,
136,9,0,Estimate,0.14940216878664686,0.011007598750072855
137,9,1,Estimate,0.4091130023789943,0.06025046166976428
138,9,2,Estimate,0.6112926512694885,0.11887803401158102
139,9,3,Estimate,0.7385621306654286,0.16444344065843491
140,9,4,Estimate,0.7991749652394968,0.18936812845372267
141,9,5,Estimate,0.8231824774728956,0.22444895271242898
142,9,6,Estimate,0.8120248299635169,0.252906870952001
143,9,7,Estimate,0.7684608077754788,0.2533344804534461
144,9,8,Estimate,0.7161868194291863,0.23751929787887735
145,9,9,Estimate,0.6768984354062116,0.21199201511550683
146,9,10,Estimate,0.636220691094262,0.1775900010058003
147,9,11,Estimate,0.5764036765631692,0.15541323704286558
148,9,12,Estimate,0.5163656558545382,0.13697241098260537
149,9,13,Estimate,,
150,9,14,Estimate,,
151,9,15,Estimate,,
152,9,16,Estimate,,
153,10,0,Estimate,0.12440753894621165,0.008284775096501957
154,10,1,Estimate,0.3745091008175631,0.05059926972243743
